Timestamp,isLeftGazeValid, isRightGazeValid,leftGazePosX,leftGazePosY,leftGazePosZ,leftGazeRotX,leftGazeRotY,leftGazeRotZ,leftGazeRotW,rightGazePosX,rightGazePosY,rightGazePosZ,rightGazeRotX,rightGazeRotY,rightGazeRotZ,rightGazeRotW,isLeftPupilDiameterValid, isRightPupilDiameterValid,leftPupilDiameter,rightPupilDiameter,isLeftPupilPositionValid, isLRightPupilPositionValidleftPupilPositionX,leftPupilPositionY,rightPupilPositionX,rightPupilPositionY,isleftGeometricValid,isRightGeometricValid,leftOpenness,rightOpenness,leftWide,rightWide,leftSqueeze,rightSqueeze,headPosX,headPosY,headPosZ,headRotX,headRotY,headRotZ,headRotW
2025-06-20 13:33:31.263,1,1,-1.152251,0.5791634,2.41916,0.08039176,-0.00297077,-0.06332008,-0.9947456,-1.088378,0.5874006,2.4184730.08135018,-0.01900349,-0.06391116,-0.9944528,1,1,6.419567,6.735973,1,1,0.4928744,0.4657101,0.5221237,0.472443,1,1,0.9999999,0.9999999,0,0,0,0,-1.120654,0.5835357,-2.435018,0.02088604,0.004125995,0.06326492,0.9977697
2025-06-20 13:33:31.274,1,1,-1.152171,0.5791034,2.418969,0.08072154,-0.002843725,-0.0632432,-0.9947242,-1.088296,0.5873305,2.4182620.08167992,-0.01887728,-0.06382985,-0.9944334,1,1,6.386594,6.708457,1,1,0.4929777,0.4656554,0.5222685,0.4722227,1,1,0.9999999,0.9999999,0,0,0,0,-1.120583,0.5834903,-2.43485,0.02115874,0.00402062,0.06320632,0.997768
2025-06-20 13:33:31.285,1,1,-1.152097,0.5790547,2.418782,0.08093174,-0.002899847,-0.06315594,-0.9947126,-1.088222,0.5872693,2.4180510.08188916,-0.01893393,-0.06373779,-0.9944211,1,1,6.367187,6.698377,1,1,0.4929073,0.4651687,0.5222685,0.4722227,1,1,0.9999999,0.9999999,0,0,0,0,-1.120503,0.5834428,-2.434651,0.02143693,0.003848948,0.06311921,0.9977683
2025-06-20 13:33:31.297,1,1,-1.152062,0.5790006,2.418601,0.08120453,-0.002959152,-0.06305774,-0.9946964,-1.088184,0.5872011,2.4178440.08216061,-0.01899366,-0.06363838,-0.994404,1,1,6.343729,6.68339,1,1,0.4926422,0.4645419,0.5218385,0.4718258,1,1,0.9999999,0.9999999,0,0,0,0,-1.120427,0.5834067,-2.434454,0.02163502,0.003650277,0.0630137,0.9977714
2025-06-20 13:33:31.308,1,1,-1.152034,0.5789632,2.418444,0.08134824,-0.003035613,-0.06297469,-0.9946897,-1.088155,0.5871515,2.4176630.08230315,-0.01907043,-0.06355485,-0.994396,1,1,6.339208,6.682395,1,1,0.4926422,0.4645419,0.5213221,0.4711335,1,1,0.9999999,0.9999999,0,0,0,0,-1.120427,0.5833437,-2.434289,0.02173727,0.003483164,0.06292771,0.9977753
2025-06-20 13:33:31.319,1,1,-1.15196,0.5789565,2.418266,0.08141209,-0.003070285,-0.06289531,-0.9946894,-1.088081,0.5871332,2.4174560.08236636,-0.01910558,-0.06347541,-0.9943951,1,1,6.348031,6.683595,1,1,0.4920627,0.4642768,0.5213221,0.4711335,1,1,0.9999999,0.9999999,0,0,0,0,-1.120347,0.5833309,-2.434094,0.02179701,0.003258605,0.06283667,0.9977804
2025-06-20 13:33:31.330,1,1,-1.151879,0.5789585,2.418103,0.08160911,-0.003062109,-0.0628755,-0.9946744,-1.087999,0.5871311,2.4172620.08256367,-0.01909779,-0.06345927,-0.99438,1,1,6.353961,6.66195,1,1,0.4914898,0.4642886,0.5205185,0.4713741,1,1,0.9999999,0.9999999,0,0,0,0,-1.120259,0.5833299,-2.433913,0.02180245,0.003022194,0.06280022,0.9977834
2025-06-20 13:33:31.341,1,1,-1.151816,0.5789743,2.418022,0.08165643,-0.003222551,-0.06289646,-0.9946688,-1.087937,0.5871477,2.4171550.08261108,-0.01925824,-0.06348143,-0.9943715,1,1,6.351312,6.66358,1,1,0.4914898,0.4642886,0.5202827,0.4714484,1,1,0.9999999,0.9999999,0,0,0,0,-1.120189,0.5833411,-2.433805,0.02179263,0.002816869,0.06280484,0.9977839
2025-06-20 13:33:31.352,1,1,-1.151717,0.5789862,2.417887,0.08172902,-0.003369532,-0.06295429,-0.9946587,-1.087839,0.5871646,2.4169840.08268471,-0.01940535,-0.06354017,-0.9943588,1,1,6.348174,6.665612,1,1,0.4914898,0.4642886,0.5202827,0.4714484,1,1,0.9999999,0.9999999,0,0,0,0,-1.120086,0.5833597,-2.433662,0.02180722,0.002539404,0.06284729,0.9977816
2025-06-20 13:33:31.363,1,1,-1.151606,0.5790126,2.417768,0.08181233,-0.003620988,-0.06299677,-0.9946482,-1.087729,0.5871935,2.4168260.08276828,-0.0196568,-0.06358234,-0.9943441,1,1,6.352999,6.655664,1,1,0.4914428,0.4641632,0.5204154,0.4715521,1,1,0.9999999,0.9999999,0,0,0,0,-1.119968,0.5833866,-2.433521,0.02185047,0.002251484,0.06288087,0.9977793
